model,n_total,n_refused,refusal_rate,ci_lower,ci_upper,n_unique_samples,n_epochs
Claude Haiku 4.5,1150,781,0.6791304347826087,0.6515920109913768,0.7054760649039628,46,26
GPT-5 Mini,230,188,0.8173913043478261,0.7623844792536819,0.8619697844872437,46,6
Gemini 3 Flash,920,111,0.12065217391304348,0.10116630510497042,0.14329291820777063,46,21
